FisheryNumber,FisheryName,Gear,Term_PreTerm,Jurisdiction,Region,PSTFisheryType,Cohort_Type,CMB,CYER,MDT,MDTFigureReport,MDTFigureDetailed,sum_landed,LW_notes,Category in Winther et al. 2024,used_for_preterminal_ER_phi_dot_E_age5_6
62,TJNST TERM S,Sport,Term,Canada,ECVI,ISBM,Term,ISBM Southern BC Sport,ISBM Canada,ISBM Southern BC Sport,CAN_ISBM,ISBM Canada,0,,preterminal,yes
63,GEO ST S,Sport,Preterm,Canada,ECVI,ISBM,Ocean,ISBM Southern BC Sport,ISBM Canada,ISBM Southern BC Sport,CAN_ISBM,ISBM Canada,0,,preterminal,yes
64,TGEO ST TERM S,Sport,Term,Canada,ECVI,ISBM,Term,ISBM Southern BC Sport,ISBM Canada,ISBM Southern BC Sport,CAN_ISBM,ISBM Canada,0,,preterminal,yes
65,BC JF S,Sport,Preterm,Canada,ECVI,ISBM,Ocean,ISBM Southern BC Sport,ISBM Canada,ISBM Southern BC Sport,CAN_ISBM,ISBM Canada,0,,preterminal,yes
66,TBC JF TERM S,Sport,Term,Canada,ECVI,ISBM,Term,ISBM Southern BC Sport,ISBM Canada,ISBM Southern BC Sport,CAN_ISBM,ISBM Canada,0,,preterminal,yes
67,TCOL R S,Sport,Term,SUS,Col R,Terminal,Term,Terminal Southern US Sport,ISBM US,Terminal Southern US Sport,TERM,Terminal US,0,,preterminal,yes
68,TAK TERM S,Sport,Term,SEAK,SEAK,Terminal,Term,Terminal SEAK Sport,Terminal,Terminal SEAK Sport,TERM,Terminal SEAK,0,,preterminal,yes
69,TBR TERM S,Sport,Term,SEAK,TBR,Terminal,Term,Terminal SEAK Sport,Terminal,Terminal SEAK Sport,TERM,Terminal SEAK,0,,preterminal,yes
70,TNORTH FS,Sport,Term,Canada,NBC,Terminal,Term,Terminal Canada Sport,ISBM Canada,Terminal Canada Sport,TERM,Terminal Canada,894.69,Skeena River freshwater sport,***not used,no
71,TCENTRAL FS,Sport,Term,Canada,CBC,Terminal,Term,Terminal Canada Sport,ISBM Canada,Terminal Canada Sport,TERM,Terminal Canada,0,,preterminal,yes
72,TWCVI FS,Sport,Term,Canada,ECVI,Terminal,Term,Terminal Canada Sport,ISBM Canada,Terminal Canada Sport,TERM,Terminal Canada,0,,preterminal,yes
73,TFRASER FS,Sport,Term,Canada,ECVI,Terminal,Term,Terminal Canada Sport,ISBM Canada,Terminal Canada Sport,TERM,Terminal Canada,2.47,,preterminal,yes
74,TGS FS,Sport,Term,Canada,ECVI,Terminal,Term,Terminal Canada Sport,ISBM Canada,Terminal Canada Sport,TERM,Terminal Canada,0,,preterminal,yes
75,TPS FS,Sport,Term,SUS,Puget Sound,Terminal,Term,Terminal Southern US Sport,ISBM US,Terminal Southern US Sport,TERM,Terminal US,0,,preterminal,yes
76,TSF TERM FS,Sport,Term,SUS,S Falcon,Terminal,Term,Terminal Southern US Sport,ISBM US,Terminal Southern US Sport,TERM,Terminal US,0,,preterminal,yes
77,TCAN TBR N,Net,Term,Canada,NBC,Terminal,Term,Terminal Canada Net,Terminal,Terminal Canada Net,TERM,Terminal Canada,0,,preterminal,yes
78,XCA ESC STRAY,other,Escapement,Canada,Stray,Escapement,Escapement,ESC,ESC,ESC,ESC_STRAYS,ESC,1.32,,NA,no
79,XUS ESC STRAY,other,Escapement,US,Stray,Escapement,Escapement,ESC,ESC,ESC,ESC_STRAYS,ESC,0,,NA,no
