"y_return_year","a_age","b_brood_year","i_population","E_star_escapement","B_star_brood_stock_removals","S_star_total_spawners","H_star_hatchery_origin_escapement","W_star_wild_spawners","p_proportion_wild_spawners","tau_L_terminal_mortality_below_terrace","tau_U_terminal_mortality_above_terrace","tau_M_terminal_mortality_marine","tau_W_terminal_mortality_wild","TermRun_terminal_run","MatureRun_mature_run","A_phi_preterminal_post_fishery_abundance","A_P_ocean_pre_fishery_abundance","phi_N_preterminal_mortality_nominal","phi_Q_preterminal_mortality_adult_equivalents","N_total_run","total_harvest_estimate","tau_dot_M_marine_terminal_mortality_exploitation_rate","phi_dot_M_preterminal_mortality_harvest_rate_net_fisheries_mature_fish","r_maturation_rate","phi_dot_E_preterminal_mortality_exploitation_rate","Q_adult_equivalency_rate"
1984,4,1980,"Kitsumkalum",1559,0,1559,0,1559,1,192.791838092672,0,1.2696167927113,194.061454885383,1753.06145488538,1753.06145488538,30136.8729030913,34887.8631910899,4750.99028799861,3712.33364878089,5465.39510366628,3906.39510366628,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798
1984,4,1980,"Large Lakes",3318.37193397446,0,3318.37193397446,0,3318.37193397446,1,480.320753207714,1333.36763556753,2.70241227186398,1816.39080104711,5134.76273502157,5134.76273502157,88271.6869403712,102187.461437198,13915.7744968271,10873.5221042055,16008.284839227,12689.9129052526,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798
1984,4,1980,"Lower Skeena",404.265468751897,0,404.265468751897,0,404.265468751897,1,41.742898875549,0,0.329225290468742,42.0721241660177,446.337592917915,446.337592917915,7672.98788764843,8882.61209289932,1209.62420525089,945.17739825235,1391.51499117026,987.249522418368,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798
1984,4,1980,"Middle Skeena",216.265889831202,0,216.265889831202,0,216.265889831202,1,31.3036022373913,86.8986189359315,0.176122389621781,118.378343562945,334.644233394146,334.644233394146,5752.86776253442,6659.79061932284,906.922856788429,708.652309100482,1043.29654249463,827.030652663427,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798
1984,4,1980,"Skeena",6791.31238650509,0,6791.31238650509,0,6791.31238650509,1,836.565203883495,1719.93312621359,5.53070189253049,2562.02903198962,9353.3414184947,9353.3414184947,160793.257283056,186141.846241969,25348.588958913,19806.9063578174,29160.2477763121,22368.935389807,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798
1984,4,1980,"Upper Skeena",393.854531372905,0,393.854531372905,0,393.854531372905,1,57.0088311157832,158.256185775192,0.320746842152971,215.585763733128,609.440295106033,609.440295106033,10476.8858299002,12128.5363839038,1651.65055400359,1290.56839858076,1900.00869368679,1506.15416231389,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798
1984,4,1980,"Zymoetz",333.246751274641,0,333.246751274641,0,333.246751274641,1,34.4097790048937,0,0.27138914145911,34.6811681463528,367.927919420994,367.927919420994,6325.04748432464,7322.17280870009,997.125324375445,779.134805449135,1147.06272487013,813.815973595487,0.000813716282780176,0,0.0581699853373163,0.136178884386705,0.781381022427798
1984,5,1979,"Kitsumkalum",2322,10,2312,0,2312,1,433.781635708511,0,0,433.781635708511,2755.78163570851,2755.78163570851,4328.8386232206,6131.45198413717,1802.61336091656,1622.3520221388,4378.13365784731,2056.13365784731,0,0,0.636609926026358,0.293994532711037,0.899999998509884
1984,5,1979,"Large Lakes",12217.6421205423,0,12217.6421205423,0,12217.6421205423,1,1768.45368226477,4909.21720368044,0,6677.67088594521,18895.3130064875,18895.3130064875,29681.1473305636,42040.9596040923,12359.8122735287,11123.8310277583,30019.1440342458,17801.5019137035,0,0,0.636609926026358,0.293994532711037,0.899999998509884
1984,5,1979,"Lower Skeena",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636609926026358,0.293994532711037,0.899999998509884
